breed,Q121,Q125,Q127,Q124,Q54,Q123,Q60,Q17,frac_of_breed,img
mixed breed,negative,any,any,any,any,any,any,any,0.728284635,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,any,any,negative,0.280461141,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,any,any,positive,0.005764262,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,any,negative,any,0.285827867,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,any,negative,negative,0.111508646,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,any,negative,positive,0.001590141,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,any,positive,any,0.130987875,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,any,positive,negative,0.045120254,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,any,positive,positive,0.001192606,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,negative,any,any,0.113098788,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,negative,any,negative,0.047505466,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,negative,any,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,negative,negative,any,0.049890678,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,negative,negative,negative,0.019876764,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,negative,positive,any,0.01769032,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,negative,positive,negative,0.006559332,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,negative,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,positive,any,any,0.320612204,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,positive,any,negative,0.11707414,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,positive,any,positive,0.002981515,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,positive,negative,any,0.118067979,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,positive,negative,negative,0.043927649,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,positive,negative,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,positive,positive,any,0.064997018,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,positive,positive,negative,0.021268138,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,any,positive,positive,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,any,any,any,0.34625323,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,any,any,negative,0.142118863,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,any,any,positive,0.002186444,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,any,negative,any,0.144702842,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,any,negative,negative,0.05982906,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,any,negative,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,any,positive,any,0.053866031,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,any,positive,negative,0.020870602,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,any,positive,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,negative,any,any,0.051282051,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,negative,any,negative,0.022858279,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,negative,negative,any,0.024647187,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,negative,negative,negative,0.009938382,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,negative,positive,any,0.006956867,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,negative,positive,negative,0.003180282,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,positive,any,any,0.157622739,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,positive,any,negative,0.061220433,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,positive,any,positive,0.000993838,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,positive,negative,any,0.062015504,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,positive,negative,negative,0.025641026,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,positive,negative,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,positive,positive,any,0.02782747,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,positive,positive,negative,0.009143311,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,negative,positive,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,any,any,any,0.074537865,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,any,any,negative,0.025442258,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,any,any,positive,0.001590141,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,any,negative,any,0.030013914,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,any,negative,negative,0.010733453,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,any,negative,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,any,positive,any,0.009739614,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,any,positive,negative,0.002583979,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,any,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,negative,any,any,0.011926058,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,negative,any,negative,0.005565494,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,negative,any,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,negative,negative,any,0.004571656,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,negative,negative,negative,0.002385212,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,negative,positive,any,0.001590141,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,negative,positive,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,negative,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,positive,any,any,0.031604055,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,positive,any,negative,0.01013715,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,positive,any,positive,0.000993838,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,positive,negative,any,0.013317432,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,positive,negative,negative,0.003975353,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,positive,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,positive,positive,any,0.004372888,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,any,positive,positive,positive,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,any,any,any,0.21228384,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,any,any,negative,0.084873783,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,any,any,positive,0.002385212,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,any,negative,any,0.083283641,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,any,negative,negative,0.032796661,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,any,negative,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,any,positive,any,0.034585569,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,any,positive,negative,0.012919897,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,any,positive,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,negative,any,any,0.034188034,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,negative,any,negative,0.014112502,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,negative,any,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,negative,negative,any,0.015901411,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,negative,negative,negative,0.005366726,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,negative,positive,any,0.004969191,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,negative,positive,negative,0.001987676,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,negative,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,positive,any,any,0.086463924,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,positive,any,negative,0.034386802,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,positive,any,positive,0.001391373,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,positive,negative,any,0.027429934,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,positive,negative,negative,0.01013715,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,positive,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,positive,positive,any,0.017292785,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,any,positive,positive,negative,0.006956867,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,any,any,any,0.101371497,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,any,any,negative,0.040151063,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,any,any,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,any,negative,any,0.040946134,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,any,negative,negative,0.015702644,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,any,positive,any,0.014708805,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,any,positive,negative,0.005963029,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,negative,any,any,0.014112502,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,negative,any,negative,0.005963029,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,negative,negative,any,0.0067581,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,negative,negative,negative,0.002186444,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,negative,positive,any,0.001788909,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,negative,positive,negative,0.000993838,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,positive,any,any,0.044126416,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,positive,any,negative,0.016696482,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,positive,any,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,positive,negative,any,0.014907573,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,positive,negative,negative,0.005764262,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,positive,positive,any,0.008547009,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,negative,positive,positive,negative,0.003180282,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,any,any,any,0.022659511,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,any,any,negative,0.007950706,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,any,any,positive,0.000993838,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,any,negative,any,0.009739614,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,any,negative,negative,0.00337905,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,any,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,any,positive,any,0.002385212,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,any,positive,negative,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,any,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,negative,any,any,0.003180282,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,negative,any,negative,0.001788909,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,negative,any,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,negative,negative,any,0.001391373,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,negative,negative,negative,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,negative,positive,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,negative,positive,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,negative,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,positive,any,any,0.008348241,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,positive,any,negative,0.003180282,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,positive,any,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,positive,negative,any,0.003776585,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,positive,negative,negative,0.001192606,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,positive,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,positive,positive,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,negative,positive,positive,positive,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,any,any,any,0.033989267,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,any,any,negative,0.013317432,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,any,negative,any,0.013317432,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,any,negative,negative,0.005565494,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,any,positive,any,0.005565494,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,any,positive,negative,0.001987676,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,negative,any,any,0.006161797,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,negative,any,negative,0.002583979,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,negative,negative,any,0.002981515,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,negative,negative,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,negative,positive,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,positive,any,any,0.012721129,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,positive,any,negative,0.004372888,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,positive,negative,any,0.004372888,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,positive,negative,negative,0.001590141,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,positive,positive,any,0.002583979,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,any,positive,positive,negative,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,any,any,any,0.016298947,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,any,any,negative,0.0067581,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,any,negative,any,0.006360565,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,any,negative,negative,0.002782747,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,any,positive,any,0.001987676,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,any,positive,negative,0.000993838,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,negative,any,any,0.002782747,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,negative,any,negative,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,negative,negative,any,0.001391373,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,negative,negative,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,negative,positive,any,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,positive,any,any,0.005366726,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,positive,any,negative,0.001987676,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,positive,negative,any,0.001391373,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,positive,negative,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,positive,positive,any,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,negative,positive,positive,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,any,any,any,0.003776585,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,any,any,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,any,negative,any,0.001987676,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,any,negative,negative,0.000993838,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,any,positive,any,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,any,positive,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,negative,any,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,negative,any,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,negative,negative,any,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,negative,negative,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,positive,any,any,0.001391373,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,positive,any,negative,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,positive,negative,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,positive,negative,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,positive,positive,any,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,any,positive,positive,positive,positive,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,any,any,any,0.248459551,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,any,any,negative,0.102564103,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,any,any,positive,0.002385212,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,any,negative,any,0.094017094,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,any,negative,negative,0.039157225,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,any,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,any,positive,any,0.051480819,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,any,positive,negative,0.020274299,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,any,positive,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,negative,any,any,0.036175711,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,negative,any,negative,0.016895249,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,negative,negative,any,0.017292785,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,negative,negative,negative,0.007155635,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,negative,positive,any,0.005764262,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,negative,positive,negative,0.002583979,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,positive,any,any,0.107930829,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,positive,any,negative,0.043132578,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,positive,any,positive,0.001391373,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,positive,negative,any,0.037964619,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,positive,negative,negative,0.015503876,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,positive,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,positive,positive,any,0.027032399,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,positive,positive,negative,0.009938382,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,any,positive,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,any,any,any,0.116477837,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,any,any,negative,0.04889684,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,any,any,positive,0.001192606,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,any,negative,any,0.044325184,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,any,negative,negative,0.018087855,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,any,negative,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,any,positive,any,0.02106937,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,any,positive,negative,0.008348241,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,any,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,negative,any,any,0.018485391,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,negative,any,negative,0.008348241,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,negative,negative,any,0.008745776,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,negative,negative,negative,0.003180282,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,negative,positive,any,0.002583979,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,negative,positive,negative,0.001192606,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,positive,any,any,0.051480819,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,positive,any,negative,0.020671835,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,positive,any,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,positive,negative,any,0.019280461,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,positive,negative,negative,0.007950706,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,positive,negative,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,positive,positive,any,0.011130988,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,negative,positive,positive,negative,0.00337905,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,any,any,any,0.024249652,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,any,any,negative,0.009143311,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,any,any,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,any,negative,any,0.009739614,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,any,negative,negative,0.003577818,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,any,negative,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,any,positive,any,0.003776585,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,any,positive,negative,0.001192606,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,negative,any,any,0.002981515,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,negative,any,negative,0.001987676,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,negative,negative,any,0.001192606,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,negative,negative,negative,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,negative,positive,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,negative,positive,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,positive,any,any,0.009938382,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,positive,any,negative,0.003180282,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,positive,any,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,positive,negative,any,0.004372888,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,positive,negative,negative,0.001192606,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,positive,negative,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,positive,positive,any,0.001590141,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,any,positive,positive,positive,negative,0.000596303,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,any,any,any,0.086662691,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,any,any,negative,0.037964619,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,any,any,positive,0.000993838,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,any,negative,any,0.033790499,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,any,negative,negative,0.014510038,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,any,negative,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,any,positive,any,0.016100179,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,any,positive,negative,0.006956867,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,any,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,negative,any,any,0.013714967,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,negative,any,negative,0.006559332,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,negative,negative,any,0.006360565,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,negative,negative,negative,0.002186444,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,negative,positive,any,0.001788909,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,negative,positive,negative,0.001192606,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,positive,any,any,0.036970781,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,positive,any,negative,0.015503876,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,positive,any,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,positive,negative,any,0.012124826,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,positive,negative,negative,0.004770423,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,positive,negative,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,positive,positive,any,0.009342079,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,any,positive,positive,negative,0.00417412,./img/breeds/mixed_breed.png
mixed breed,negative,any,negative,negative,negative,any,any,any,0.04213874,./img/breeds/mixed_breed.png
